#Cam0 X	 Cam0 Y	 Cam1 X	 Cam1 Y
611.7618946913741	10.83864034781099	433.2981952222001	801.6304847139241	
611.9840523475112	10.260896242674477	432.6429881280329	802.1315706262964	
652.837065160541	667.950703816049	432.8624225681314	802.160381338877	
652.0205268669102	667.2657413134993	644.2676336708518	683.2863568122506	
592.2311413649043	544.4180561572599	472.0453790819374	650.4850286619587	
592.0893336684812	544.4255104598557	471.942938962556	650.3922465298666	
591.9501239413545	544.3116291280406	471.56810025730323	650.5278212443644	
591.8958201017701	544.5257062106714	471.6855983059913	650.8485020302029	
592.0241697197164	544.3393334960933	471.9361077021405	650.7648694101792	
591.84464736234	544.041123196882	471.49196143871774	650.459376059513	
591.6588010173382	544.1882307178478	471.0634386813878	650.5743796150689	
592.0132971668759	545.7451843408537	471.3695461226794	652.0620175661454	
595.4863582007795	541.8733431740158	469.67545307678233	652.2510454698814	
595.5936564518543	541.8745935624898	470.04373691427855	651.9737904532175	
595.575107039529	541.8719631649735	470.0589435786253	651.9342278513866	
605.2658971553758	545.917005413152	475.9792805079504	661.2170620118354	
603.1914526139348	542.1161708474036	476.27268926283165	658.1634552728183	
608.1329419014336	542.4464784169849	478.1301273999467	657.9206823534184	
640.5	512.5	512.5	640.5	
516.0748686980645	641.1147218346114	513.9851227268264	646.2864948568989	
